,L2SID,L2GENDER,L2Y1_SCHID,L2Y1_REG,L2Y1_SCHSIZE,L2Y1_SCHTYPE,L2Y1S,L2Y1S0101,L2Y1S0102,L2Y1S0103,L2Y1S0104,L2Y1S0105,L2Y1S0106,L2Y1S0107,L2Y1S0108,L2Y1S0109,L2Y1S0110,L2Y1S0111,L2Y1S0112,L2Y1S0113,L2Y1S0114,L2Y1S0115,L2Y1S0116,L2Y1S0117,L2Y1S0118,L2Y1S0119,L2Y1S0120,L2Y1S0201,L2Y1S0202,L2Y1S0203,L2Y1S0204,L2Y1S0205,L2Y1S0206,L2Y1S0301,L2Y1S0302,L2Y1S0303,L2Y1S0304,L2Y1S0305,L2Y1S0306,L2Y1S0401,L2Y1S0402,L2Y1S0403,L2Y1S0404,L2Y1S0405,L2Y1S0501,L2Y1S0502,L2Y1S0503,L2Y1S0504,L2Y1S0505,L2Y1S0506,L2Y1S0507,L2Y1S0601,L2Y1S0602,L2Y1S0603,L2Y1S0604,L2Y1S0605,L2Y1S0701,L2Y1S0702,L2Y1S0703,L2Y1S0704,L2Y1S0705,L2Y1S0801,L2Y1S0802,L2Y1S0803,L2Y1S0804,L2Y1S0805,L2Y1S0806,L2Y1S0901,L2Y1S0902,L2Y1S0903,L2Y1S1001,L2Y1S1002,L2Y1S1003,L2Y1S1101,L2Y1S1102,L2Y1S1103,L2Y1S1104,L2Y1S1105,L2Y1S1201,L2Y1S1202,L2Y1S1203,L2Y1S1204,L2Y1S1205,L2Y1S1206,L2Y1S1207,L2Y1S1208,L2Y1S1301,L2Y1S1302,L2Y1S1303,L2Y1S1304,L2Y1S1305,L2Y1S1306,L2Y1S1307,L2Y1S1308,L2Y1S1401,L2Y1S1402,L2Y1S1403,L2Y1S1404,L2Y1S1405,L2Y1S1406,L2Y1S1501,L2Y1S1502,L2Y1S1503,L2Y1S1504,L2Y1S1505,L2Y1S1601,L2Y1S1602,L2Y1S1603,L2Y1S1604,L2Y1S1701,L2Y1S1702,L2Y1S1703,L2Y1S1704,L2Y1S1705,L2Y1S1801,L2Y1S1802,L2Y1S1803,L2Y1S1804,L2Y1S1805,L2Y1S1806,L2Y1S1901,L2Y1S1902,L2Y1S1903,L2Y1S1904,L2Y1S2001,L2Y1S2002,L2Y1S2003,L2Y1S2004,L2Y1S2005,L2Y1S2101,L2Y1S2102,L2Y1S2103,L2Y1S2104,L2Y1S2105,L2Y1S2106,L2Y1S2107,L2Y1S2108,L2Y1S22,L2Y1S23,L2Y1S24,L2Y1S24_1_M1,L2Y1S24_1_M2,L2Y1S24_1_M3,L2Y1S24_1_M4,L2Y1S24_1_M5,L2Y1S24_1_M6,L2Y1S24_1_M7,L2Y1S24_1_M8,L2Y1S24_1_M9,L2Y1S24_1_M11,L2Y1S24_1_M10,L2Y1S24_1_M10_O,L2Y1S25,L2Y1S2601,L2Y1S2602,L2Y1S2603,L2Y1S2604,L2Y1S2701,L2Y1S2702,L2Y1S2703,L2Y1S2704,L2Y1S2705,L2Y1S28,L2Y1S2901,L2Y1S2902,L2Y1S3001,L2Y1S3002,L2Y1S3003,L2Y1S3004,L2Y1S3005,L2Y1S31,L2Y1S3201,L2Y1S3202,L2Y1S3203,L2Y1S3204,L2Y1S3205,L2Y1S3206,L2Y1S3207,L2Y1S3208,L2Y1S33,L2Y1S34,L2Y1S35,L2Y1S36_O,L2Y1S3701,L2Y1S3702,L2Y1S3703,L2Y1S3704,L2Y1S3705,L2Y1S3706,L2Y1S3707,L2Y1S3708,L2Y1S3709,L2Y1S3710,L2Y1S3801,L2Y1S3802,L2Y1S3803,L2Y1S3804,L2Y1S3805,L2Y1S3806,L2Y1S3807,L2Y1S3808,L2Y1S3901,L2Y1S3902,L2Y1S3903,L2Y1S3904,L2Y1S3905,L2Y1S3906,L2Y1S3907,L2Y1S3908,L2Y1_K_SCORE,L2Y1_E_SCORE,L2Y1_M_SCORE,L2Y1_K_THETA,L2Y1_E_THETA,L2Y1_M_THETA,L2Y1_K_CS,L2Y1_E_CS,L2Y1_M_CS
0,1.0,2,1001.0,1,1,1,1,4,4,3,4,4,5,5,5,5,4,3,3,4,3,3,4,4,3,3,4,3,4,4,4,4,4,2,2,2,2,4,2,4,4,4,4,4,4,4,4,4,5,1,3,4,4,4,5,5,5,5,2,1,5,4,4,4,4,4,4,5,5,5,4,4,4,2,2,2,3,1,4,3,3,4,4,4,4,4,4,3,5,5,4,3,4,5,4,5,5,5,5,5,4,3,4,4,5,4,4,4,4,4,4,4,4,4,3,4,4,3,4,3,3,4,3,5,2,2,2,2,4,1,3,4,3,4,3,3,4,2,2,1,1,2,2,2,2,2,2,2,2,2,2,,2,3,3,3,3,3,4,5,4,4,1,4,3,3,2,4,3,2,9,3,2,2,3,3,5,3,3,대학교,대안학교 진학,서울 소재2/3년제 대학,심리상담가,4,4,4,4,5,4,4,4,4,4,3,4,3,4,4,4,4,3,4,4,3,4,4,2,5,5,21.0,23.0,20.0,226.0,221.0,206.0,3,4,3
1,2.0,2,1001.0,1,1,1,1,5,4,4,5,4,5,5,5,5,5,4,4,3,4,3,5,5,5,5,5,4,4,3,5,5,5,1,1,1,1,2,2,5,5,5,4,4,5,5,5,4,5,1,3,3,4,5,4,4,5,5,3,2,5,5,5,5,5,3,4,5,5,5,3,3,3,1,2,2,3,1,5,5,4,5,4,5,4,5,2,1,1,2,5,5,3,5,5,5,5,5,5,5,5,1,1,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,1,3,1,1,1,2,1,2,4,5,1,3,3,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,,2,4,4,4,3,5,5,5,5,5,3,1,2,1,1,1,1,1,3,3,2,5,5,3,2,5,3,전문대학(2/3년제),전문계(구 실업계)고 또는 전문계 특성화고,해외 유학,레스토랑요리사,5,5,5,5,5,5,4,5,4,5,3,2,5,5,5,5,5,5,4,5,4,5,3,4,5,5,19.0,19.0,16.0,206.0,185.0,177.0,3,3,3
2,3.0,2,1001.0,1,1,1,1,5,4,4,5,3,4,3,4,4,3,4,3,3,3,4,4,5,5,3,4,4,3,3,4,4,3,4,4,4,4,4,4,3,4,4,3,4,3,3,5,3,4,2,4,4,3,5,4,4,4,3,2,2,4,3,4,4,3,3,4,5,4,5,4,3,4,1,2,2,3,1,4,4,5,3,4,4,4,4,3,3,2,3,4,3,3,4,5,5,5,5,4,5,5,2,2,3,4,5,5,5,4,5,5,5,4,5,3,4,5,4,4,3,1,2,3,4,2,3,3,3,1,2,3,2,3,3,2,1,2,1,2,2,,,,,,,,,,,,,2,3,4,3,3,3,3,3,3,4,2,0,2,1,1,1,1,1,2,1,2,4,3,5,1,4,3,대학교,일반계(인문계)고,서울 소재 4년제 대학,선생님,4,4,4,5,3,4,4,4,3,3,3,3,4,3,5,5,3,3,4,4,2,3,4,3,4,3,16.0,22.0,24.0,179.0,209.0,249.0,2,4,4
3,4.0,1,1001.0,1,1,1,1,5,4,4,5,5,5,4,5,5,5,4,5,5,3,3,3,3,2,5,3,2,2,3,5,3,3,,,4,,,,3,3,3,2,2,3,3,3,3,3,3,4,3,3,3,3,4,5,5,1,1,3,4,4,3,4,3,3,5,2,3,4,3,3,2,3,1,4,1,5,5,5,5,5,5,5,5,2,1,2,2,4,4,3,4,5,5,5,5,5,5,5,4,1,3,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,2,2,2,2,1,1,1,1,1,4,4,3,5,2,2,2,4,2,2,2,,,,,,,,,,,,,2,3,3,3,3,3,3,3,5,4,0,2,3,4,3,3,3,1,7,1,2,1,2,3,3,3,4,잘 모르겠다,"예체능고(예고,체육고,미술고 등)",대학 진학을 원하지 않음,축구선수,5,5,5,5,5,5,5,5,5,5,5,1,5,5,4,5,3,2,3,4,2,5,3,1,2,5,15.0,11.0,11.0,171.0,145.0,148.0,2,1,2
4,5.0,2,1001.0,1,1,1,1,2,3,2,1,3,5,4,5,4,4,3,2,2,2,2,4,3,4,3,4,3,2,3,3,2,2,4,2,2,2,4,2,3,2,3,3,3,2,2,2,3,2,,,3,4,4,4,3,5,4,5,3,4,2,4,2,4,4,4,4,1,3,4,1,4,2,2,1,3,1,4,4,3,4,5,4,3,4,5,3,5,4,1,1,3,2,5,4,4,4,5,5,4,3,1,,,3,4,3,3,5,4,4,4,4,3,3,2,3,1,1,2,3,2,4,1,1,1,1,1,3,2,5,4,3,5,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,,2,2,3,2,2,3,3,2,3,3,3,1,2,3,1,1,2,2,0,3,2,1,2,2,3,2,2,대학교,자율형 사립고,서울 소재 4년제 대학,파티쉐,3,2,2,3,2,4,4,3,3,2,2,2,4,5,4,3,2,3,3,2,3,4,3,2,3,3,20.0,10.0,18.0,216.0,141.0,190.0,3,1,3
5,6.0,2,1001.0,1,1,1,1,5,4,5,5,4,5,5,5,5,5,5,5,5,3,2,5,4,4,5,5,5,2,3,3,4,3,1,1,1,1,1,1,3,3,3,3,3,4,3,5,4,5,1,4,4,4,5,4,4,5,5,2,1,5,5,5,5,4,5,5,4,4,5,4,4,4,1,3,1,2,1,5,5,4,5,5,5,5,5,2,2,4,3,3,3,3,4,5,5,5,4,5,5,5,2,1,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,2,1,1,1,1,1,4,4,4,4,2,3,1,1,1,2,1,2,1,2,2,1,2,2,1,2,2,2,,1,4,4,3,4,3,3,5,4,5,1,1,0,,,,,,1,3,2,4,2,2,2,2,2,대학교,일반계(인문계)고,서울 소재 4년제 대학,의사,4,4,4,4,4,4,4,4,4,4,2,2,4,4,5,5,4,2,5,5,2,4,5,4,4,5,18.0,25.0,25.0,197.0,253.0,264.0,3,4,4
6,7.0,2,1001.0,1,1,1,1,5,5,5,5,3,3,4,5,3,4,3,3,3,3,3,5,3,3,4,5,3,3,3,5,4,3,1,5,1,1,1,1,3,3,3,3,2,3,2,3,3,3,1,,3,3,3,3,2,5,5,2,2,3,3,3,3,3,3,3,4,2,3,2,2,2,2,2,1,2,1,4,3,3,3,3,3,2,3,2,2,2,3,3,2,3,2,5,5,4,4,4,5,5,2,1,2,5,3,3,5,5,5,5,5,5,5,3,3,3,3,3,3,2,3,3,3,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,1,2,1,2,2,2,2,2,2,2,2,2,,2,3,3,3,3,3,2,2,3,2,1,0,1,3,2,1,3,2,3,2,,3,2,2,2,2,,고등학교,"예체능고(예고,체육고,미술고 등)",,화가,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,1,3,2,1,3,3,3,3,3,11.0,9.0,9.0,140.0,136.0,137.0,2,1,1
7,8.0,2,1001.0,1,1,1,1,4,3,4,5,3,4,5,5,5,4,4,4,3,3,3,5,3,4,5,4,4,3,4,4,4,4,4,5,4,2,4,4,3,3,3,4,3,2,4,4,3,3,1,3,3,3,4,4,3,3,3,2,2,3,3,3,4,3,4,4,4,5,5,3,4,4,1,1,1,1,1,3,4,5,5,4,3,3,5,1,1,1,1,3,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,4,3,3,1,1,1,1,1,1,1,1,1,5,3,4,3,4,5,3,3,2,2,2,,,,,,,,,,,,,2,4,4,4,5,4,3,3,5,4,1,1,1,3,4,2,2,3,1,1,2,4,2,2,2,1,1,잘 모르겠다,"예체능고(예고,체육고,미술고 등)",대학 진학을 원하지 않음,미술선생님,3,4,3,3,3,5,3,3,3,3,5,3,5,4,5,5,4,1,5,4,1,1,2,3,5,5,11.0,14.0,16.0,140.0,159.0,177.0,2,2,3
8,9.0,2,1001.0,1,1,1,1,3,5,4,5,4,5,5,5,4,4,5,4,3,3,3,4,5,3,3,3,4,5,4,5,4,3,2,2,2,2,4,4,3,4,5,3,4,4,3,3,4,3,1,4,4,5,5,4,4,4,5,2,3,5,3,3,3,4,3,3,4,5,5,4,4,4,1,2,1,2,1,5,5,4,5,5,5,3,4,3,3,3,3,3,3,2,5,5,5,5,5,5,5,5,3,3,3,4,5,5,5,4,5,5,5,4,4,3,3,3,3,5,4,1,2,2,4,1,2,1,1,1,4,5,5,4,4,5,3,3,1,1,2,,,,,,,,,,,,,1,4,3,3,3,2,2,4,2,3,1,0,2,5,3,4,2,4,1,1,3,5,2,4,2,4,2,대학교,외국어고/국제고,서울 소재 4년제 대학,영어선생님,3,3,4,4,4,4,3,3,3,3,3,2,3,4,4,4,2,2,3,3,2,3,4,4,5,4,17.0,21.0,23.0,188.0,200.0,236.0,2,4,4
9,10.0,1,1001.0,1,1,1,1,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,2,2,4,4,3,4,4,4,3,4,4,4,3,3,3,3,3,4,3,4,4,3,4,3,3,3,2,3,3,2,5,5,5,4,3,3,2,3,1,2,1,5,5,5,5,5,5,5,5,3,2,2,2,3,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,3,2,2,2,2,2,3,2,2,2,3,3,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,,1,3,4,4,4,2,4,4,3,3,1,0,1,4,3,4,3,3,8,,,,,,,,,대학교,"예체능고(예고,체육고,미술고 등)",서울 소재 4년제 대학,야구선수,5,5,5,5,5,5,5,5,5,5,4,2,5,5,4,4,4,4,4,4,2,2,4,4,4,4,14.0,21.0,22.0,163.0,200.0,225.0,2,4,4
10,11.0,2,1001.0,1,1,1,1,5,5,5,5,3,4,5,5,5,5,2,2,4,2,2,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,3,4,4,4,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,4,4,4,4,1,1,1,1,1,5,5,5,5,5,5,5,5,3,1,1,1,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,3,1,1,1,5,1,1,1,1,1,3,5,5,5,5,5,5,5,1,2,2,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,6,0,0,,,,,,9,1,5,1,5,5,1,1,5,전문대학(2/3년제),자율형 사립고,서울 소재 4년제 대학,판사,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,13.0,15.0,20.0,155.0,163.0,206.0,2,2,3
11,12.0,2,1001.0,1,1,1,1,5,5,5,5,5,5,5,5,5,5,3,3,4,2,3,4,4,3,4,3,4,4,4,5,5,3,1,4,5,4,2,2,4,4,4,3,4,5,3,4,4,4,1,4,3,3,3,4,4,5,5,3,2,4,4,4,3,3,3,3,5,5,5,4,4,4,1,2,1,3,1,4,4,3,3,3,5,3,4,2,1,1,3,4,4,4,4,5,4,5,5,5,5,5,2,2,2,5,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,2,4,4,5,1,1,1,1,1,4,4,4,4,3,4,2,2,1,2,2,,,,,,,,,,,,,2,4,4,4,4,3,3,3,3,3,1,1,4,4,3,3,4,4,1,1,2,3,2,5,2,4,2,대학교,"예체능고(예고,체육고,미술고 등)",서울 소재 4년제 대학,,4,4,4,4,4,5,5,5,5,5,2,2,3,4,5,5,3,3,4,4,4,4,3,5,5,5,13.0,15.0,21.0,155.0,163.0,215.0,2,2,3
12,13.0,2,1001.0,1,1,1,1,4,4,3,4,4,3,4,4,3,4,2,2,2,2,2,3,3,3,2,3,3,3,3,4,3,3,2,2,2,2,2,2,3,4,3,4,4,3,2,3,4,3,1,3,3,3,3,3,3,4,4,2,2,4,3,3,4,4,4,4,4,4,5,3,3,3,3,3,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,3,4,2,2,2,2,2,3,3,3,3,4,4,2,2,2,2,2,,,,,,,,,,,,,2,3,3,3,3,3,3,4,3,3,2,1,1,2,2,2,2,2,3,3,2,5,2,3,2,5,4,전문대학(2/3년제),"예체능고(예고,체육고,미술고 등)",서울 소재2/3년제 대학,패션디자이너,3,3,3,4,3,3,3,3,4,4,4,3,3,3,4,3,3,3,3,3,3,3,4,4,4,3,20.0,19.0,22.0,216.0,185.0,225.0,3,3,4
13,14.0,2,1001.0,1,1,1,1,5,5,5,5,5,4,3,3,4,4,3,2,3,5,4,5,5,5,5,5,5,5,5,4,5,5,4,1,1,1,2,1,4,5,5,5,5,5,3,4,5,5,1,4,5,5,5,5,4,5,5,1,1,5,5,5,5,5,5,5,5,5,5,4,4,4,2,3,1,2,1,5,5,5,5,5,5,5,5,2,2,2,2,4,4,4,4,5,5,5,5,5,5,5,2,1,3,4,5,5,5,5,5,5,5,5,5,4,4,2,3,3,5,1,1,4,3,1,1,4,2,1,4,1,2,4,5,5,2,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,,2,5,5,5,5,3,5,5,5,3,4,0,4,4,2,3,2,2,1,3,2,1,2,4,2,4,3,대학교,일반계(인문계)고,서울 소재 4년제 대학,초등학교 선생님,5,5,5,5,5,5,5,5,5,5,5,4,3,2,3,3,1,1,2,3,1,1,4,1,3,2,17.0,24.0,18.0,188.0,235.0,190.0,2,4,3
14,15.0,1,1001.0,1,1,1,1,5,5,3,5,3,3,5,3,2,5,3,5,3,3,3,4,3,2,3,4,4,5,3,5,3,2,,,,,,,3,3,3,2,2,5,3,3,4,4,1,5,3,5,5,4,5,5,5,3,1,5,4,3,3,3,3,3,5,4,4,4,4,3,3,3,1,3,1,5,5,4,5,5,5,3,5,1,2,4,3,5,4,5,4,5,5,5,5,5,5,5,3,3,4,5,5,5,5,5,5,5,5,4,5,3,3,3,3,3,5,2,4,4,5,1,1,1,1,1,4,4,3,4,4,4,3,3,2,2,2,,,,,,,,,,,,,2,,,,,3,3,3,4,5,1,0,0,,,,,,1,1,2,1,3,3,1,4,2,대학원 박사과정,해외 유학,해외 유학,목사,4,2,5,5,3,3,5,5,3,3,4,4,3,3,5,5,4,1,3,3,2,4,5,3,2,2,13.0,9.0,8.0,155.0,136.0,131.0,2,1,1
15,16.0,1,1001.0,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,4,3,5,2,3,2,4,3,2,2,4,2,2,4,4,4,5,3,4,3,4,4,5,3,2,2,3,4,3,5,3,4,3,4,3,2,5,5,4,4,3,5,4,5,5,4,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,4,4,2,2,4,4,5,5,4,4,4,4,5,4,4,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,,1,5,5,5,5,5,5,5,5,5,1,1,1,2,2,2,2,2,2,5,3,2,2,2,2,2,2,잘 모르겠다,"예체능고(예고,체육고,미술고 등)",서울 소재 4년제 대학,아나운서,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7.0,16.0,7.0,109.0,168.0,125.0,1,2,1
16,17.0,2,1001.0,1,1,1,1,5,4,4,5,4,5,5,5,3,5,4,4,4,2,3,5,3,5,5,5,2,3,3,4,4,3,1,4,4,2,4,4,2,4,3,4,2,4,3,3,4,3,2,2,3,3,5,4,4,5,5,2,2,3,3,4,3,3,4,4,5,5,5,3,4,4,3,3,1,3,1,4,3,4,4,4,4,4,5,2,2,2,2,4,4,3,3,4,3,4,4,3,4,5,3,3,4,4,5,5,5,5,4,3,3,4,3,4,3,4,4,4,4,2,3,2,4,2,1,2,3,1,1,2,2,4,2,3,4,2,2,2,2,,,,,,,,,,,,,2,4,3,3,3,3,3,3,4,5,5,1,1,1,1,1,1,1,3,3,3,2,3,2,2,2,3,대학교,일반계(인문계)고,서울 소재2/3년제 대학,초등학교 선생님,4,4,4,4,4,4,4,4,4,4,4,2,5,5,3,4,4,3,4,4,2,2,5,4,5,4,15.0,15.0,17.0,171.0,163.0,183.0,2,2,3
17,18.0,1,1001.0,1,1,1,1,4,3,4,3,3,4,3,3,4,3,3,3,3,3,3,4,3,4,4,4,3,4,3,2,3,4,4,4,2,2,4,4,4,2,3,4,3,2,2,3,3,3,2,4,4,4,4,4,3,4,4,3,3,3,4,4,3,2,3,4,5,5,5,3,4,3,3,3,1,2,1,4,2,2,4,2,2,4,4,3,2,2,3,3,3,3,2,4,3,4,4,4,3,5,4,4,4,4,5,5,5,4,3,4,2,3,4,3,4,2,3,3,3,2,2,2,5,2,2,2,4,2,4,3,3,4,4,5,2,3,2,2,2,,,,,,,,,,,,,2,4,4,2,4,1,2,3,2,2,2,0,1,3,2,3,3,3,0,3,2,1,1,2,1,1,2,대학교,일반계(인문계)고,서울 소재 4년제 대학,연구직회사원,3,4,4,4,4,4,2,4,,4,4,3,4,4,4,4,3,2,3,3,2,3,4,3,3,4,16.0,17.0,15.0,179.0,173.0,171.0,2,3,3
18,19.0,2,1001.0,1,1,1,1,3,4,5,5,5,5,4,3,3,5,5,4,3,4,5,3,3,3,3,4,4,5,5,5,4,5,1,2,2,2,2,2,3,4,4,4,4,4,4,4,5,5,1,1,3,4,4,4,4,5,5,5,2,1,5,3,3,3,3,3,5,5,5,3,4,4,1,3,1,1,1,5,4,4,5,5,5,3,5,1,1,1,1,3,4,5,3,5,5,5,5,5,5,5,1,1,4,5,5,5,5,5,5,5,5,5,5,3,4,5,3,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,,2,3,4,5,5,3,5,5,3,4,3,2,1,1,3,1,1,1,4,2,3,3,4,3,2,5,5,대학교,일반계(인문계)고,서울 소재 4년제 대학,교사,5,5,5,5,5,5,5,5,5,5,3,1,5,5,5,5,5,5,5,5,2,2,3,5,5,5,19.0,17.0,18.0,206.0,173.0,190.0,3,3,3
19,20.0,1,1001.0,1,1,1,1,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,1,1,1,1,1,1,5,3,4,4,4,5,5,5,5,5,1,1,5,5,5,4,5,5,5,1,2,5,5,5,5,5,5,5,5,5,5,4,4,4,1,1,1,1,1,5,5,5,5,4,5,5,5,4,2,1,1,4,3,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,2,,1,4,4,5,4,5,4,5,5,5,4,0,0,,,,,,7,5,5,5,5,1,1,5,4,대학원 박사과정,해외 유학,해외 유학,축구선수,5,5,5,5,5,5,5,5,5,5,5,2,5,5,4,5,1,5,5,5,5,5,5,2,4,4,19.0,23.0,23.0,206.0,221.0,236.0,3,4,4
20,21.0,1,1001.0,1,1,1,1,5,5,5,4,5,5,5,5,5,5,4,4,5,3,3,5,4,4,4,5,5,5,4,4,4,4,1,4,4,1,1,2,4,3,3,3,4,2,3,3,5,5,1,1,5,4,5,5,4,5,5,2,3,4,5,5,5,5,5,3,4,4,4,3,3,3,3,3,1,2,1,5,5,5,5,4,3,5,5,,,,,,,,,,,,,,,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,,2,4,3,5,4,4,3,4,5,5,1,3,3,1,1,1,1,1,2,4,3,5,3,3,4,3,2,잘 모르겠다,"예체능고(예고,체육고,미술고 등)",서울 소재 4년제 대학,국가대표 축구선수,5,5,5,5,5,5,5,5,5,5,1,4,5,5,5,5,3,4,5,3,2,5,2,3,4,3,12.0,11.0,11.0,147.0,145.0,148.0,2,1,2
21,22.0,2,1001.0,1,1,1,1,5,4,4,5,4,4,4,4,4,4,4,3,4,4,3,4,3,3,3,4,3,4,3,5,3,2,1,1,2,1,1,1,3,3,3,2,2,3,3,3,3,3,1,3,4,3,4,3,3,4,4,2,2,3,3,4,3,3,3,3,3,4,5,3,3,4,2,2,1,2,1,3,3,4,5,4,5,4,3,3,2,3,2,4,3,3,3,4,3,5,3,3,3,5,4,4,5,5,4,5,4,4,3,4,3,3,4,3,4,2,3,2,5,3,4,2,4,1,1,2,1,1,2,3,3,2,1,2,1,1,1,2,2,,,,,,,,,,,,,2,3,3,3,3,3,2,2,3,2,1,1,4,2,1,2,2,1,1,1,2,,,3,2,4,2,중학교,,,선생님,4,3,3,3,3,3,3,2,3,2,3,2,4,4,4,4,2,2,4,3,2,2,4,4,5,4,18.0,22.0,22.0,197.0,209.0,225.0,3,4,4
22,23.0,1,1001.0,1,1,1,1,3,3,3,4,4,4,4,3,3,4,4,3,2,3,3,3,3,3,3,4,4,3,3,4,4,3,1,2,4,4,1,4,4,4,3,4,4,2,3,2,4,3,1,4,3,4,4,3,4,3,5,2,2,4,5,5,5,5,5,5,4,5,4,2,1,3,3,2,2,4,1,4,4,4,3,4,4,4,5,3,3,3,4,3,3,4,3,5,4,4,5,5,4,5,4,5,5,5,5,4,4,5,3,4,4,3,3,3,3,2,3,4,5,1,2,4,4,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,,1,4,4,4,2,2,2,3,2,2,0,2,3,1,2,2,2,1,1,3,1,1,1,,,,,대학교,"예체능고(예고,체육고,미술고 등)",서울 소재2/3년제 대학,학교체육선생님,3,3,4,4,5,4,4,3,4,4,3,2,4,5,3,4,2,2,2,2,2,2,2,2,4,2,16.0,22.0,17.0,179.0,209.0,183.0,2,4,3
23,24.0,2,1001.0,1,1,1,1,4,3,4,5,3,5,5,5,4,5,5,4,5,5,5,4,3,2,3,4,3,3,3,5,3,4,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,4,4,4,3,2,4,3,3,3,4,5,4,4,4,4,3,3,2,4,3,4,3,3,3,3,3,3,3,4,4,4,4,2,2,2,2,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,,2,4,4,4,4,2,2,2,2,2,3,0,3,4,4,4,4,4,6,3,3,3,2,2,1,2,2,대학교,"예체능고(예고,체육고,미술고 등)",서울 소재2/3년제 대학,잡지모델,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16.0,11.0,14.0,179.0,145.0,165.0,2,1,2
24,25.0,2,1001.0,1,1,1,1,3,4,4,4,4,5,5,5,5,5,3,3,3,3,4,5,5,4,5,4,4,4,4,4,4,4,2,2,2,2,2,2,3,3,3,3,3,4,4,4,5,5,1,1,4,4,5,5,5,5,5,2,3,5,4,5,4,,4,4,5,5,5,4,4,4,1,1,1,1,1,5,5,5,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,4,2,4,5,5,5,5,5,5,4,5,3,3,5,5,4,5,5,5,1,3,1,5,1,1,1,1,1,3,4,4,4,1,4,2,1,1,2,2,,,,,,,,,,,,,2,5,5,5,5,5,5,5,5,5,2,0,1,1,1,1,1,1,3,4,2,2,3,2,2,3,2,대학교,,서울 소재 4년제 대학,공무원,3,3,5,5,4,3,4,4,5,5,3,2,5,4,5,4,3,5,4,4,3,3,5,3,3,5,23.0,21.0,21.0,249.0,200.0,215.0,4,4,3
